PART NUMBER,BAY,BATCHES,PLATING IN SECONDS
12 07 100 065 08 90 12,3,5,4800
44 06 100 050 00 92 12,3,3,5500
12 10 100 060 05 90 12,3,10,0
90 06 100 155 06 90 12,3,7,5500
90 06 100 155 06 90 12,3,3,5500
43 25 100 100 00 90 62,3,11,5500
02 08 125 075 08 21 12,3,2,5500
90 06 100 155 06 90 12,3,3,5500
03 06 100 070 06 21 12,3,3,5500
03 08 125 085 06 21 12,3,3,5500
02 08 125 075 08 21 12,3,7,5500
90 06 100 155 06 90 12,3,3,5500
03 06 100 070 06 21 12,3,5,5500
03 08 125 085 06 21 12,3,14,5500
90 06 100 155 06 90 12,3,12,5500
02 08 125 075 08 21 12,3,4,5500
01 10 125 110 08 90 12,3,2,5500
03 10 125 100 06 21 12,3,4,5500
01 10 125 110 08 90 12,3,9,5500
03 10 125 100 06 21 12,3,14,5500
03 12 125 125 06 91 12,3,9,0
03 10 125 100 06 21 12,3,4,5500
03 12 125 125 06 91 12,3,15,0
90 06 100 155 06 90 12,3,7,5500
MB8240-7300-FIN,2,72,10200
MB8130-9900-FIN,2,20,18000
MB8230-7300-FIN,2,4,14500
MB8250-7300-FIN,2,3,10200
MB8140-9900-FIN,2,3,18000
MB9490-7800-FIN,2,3,10200
MB8350-7200-FIN,2,1,10200
MB9480-7200-FIN,2,1,10200
MB8890-7200-FIN,2,0,10200
