Machine,Part Number,Loading Start,Processing Start,End Time,Processing Time
Bay2_Machine_1,MB8130-9900-FIN_Batch_1,0.0,10.0,310.0,300.0
Bay2_Machine_2,MB8130-9900-FIN_Batch_2,10.0,20.0,320.0,300.0
Bay2_Machine_3,MB8130-9900-FIN_Batch_3,20.0,30.0,330.0,300.0
Bay2_Machine_4,MB8130-9900-FIN_Batch_4,30.0,40.0,340.0,300.0
Bay2_Machine_5,MB8130-9900-FIN_Batch_5,40.0,50.0,350.0,300.0
Bay3_Machine_1,44 06 100 050 00 92 12_Batch_1,50.0,60.0,151.66666666666666,91.66666666666667
Bay3_Machine_2,44 06 100 050 00 92 12_Batch_2,60.0,70.0,161.66666666666666,91.66666666666667
Bay3_Machine_3,44 06 100 050 00 92 12_Batch_3,70.0,80.0,171.66666666666666,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_1,151.66666666666666,161.66666666666666,253.33333333333334,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_2,161.66666666666666,171.66666666666666,263.3333333333333,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_3,171.66666666666666,181.66666666666666,273.3333333333333,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_4,253.33333333333334,263.3333333333333,355.0,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_5,263.3333333333333,273.3333333333333,365.0,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_6,273.3333333333333,283.3333333333333,375.0,91.66666666666667
Bay2_Machine_1,MB8130-9900-FIN_Batch_6,310.0,320.0,620.0,300.0
Bay2_Machine_2,MB8130-9900-FIN_Batch_7,320.0,330.0,630.0,300.0
Bay2_Machine_3,MB8130-9900-FIN_Batch_8,330.0,340.0,640.0,300.0
Bay2_Machine_4,MB8130-9900-FIN_Batch_9,340.0,350.0,650.0,300.0
Bay2_Machine_5,MB8130-9900-FIN_Batch_10,350.0,360.0,660.0,300.0
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_7,360.0,370.0,461.6666666666667,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_1,370.0,380.0,471.6666666666667,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_2,380.0,390.0,481.6666666666667,91.66666666666667
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_3,461.6666666666667,471.6666666666667,563.3333333333334,91.66666666666667
Bay3_Machine_2,43 25 100 100 00 90 62_Batch_1,471.6666666666667,481.6666666666667,573.3333333333334,91.66666666666667
Bay3_Machine_3,43 25 100 100 00 90 62_Batch_2,481.6666666666667,491.6666666666667,583.3333333333334,91.66666666666667
Bay3_Machine_1,43 25 100 100 00 90 62_Batch_3,563.3333333333334,573.3333333333334,665.0,91.66666666666667
Bay3_Machine_2,43 25 100 100 00 90 62_Batch_4,573.3333333333334,583.3333333333334,675.0,91.66666666666667
Bay3_Machine_3,43 25 100 100 00 90 62_Batch_5,583.3333333333334,593.3333333333334,685.0,91.66666666666667
Bay2_Machine_1,MB8130-9900-FIN_Batch_11,620.0,630.0,930.0,300.0
Bay2_Machine_2,MB8130-9900-FIN_Batch_12,630.0,640.0,940.0,300.0
Bay2_Machine_3,MB8130-9900-FIN_Batch_13,640.0,650.0,950.0,300.0
Bay2_Machine_4,MB8130-9900-FIN_Batch_14,650.0,660.0,960.0,300.0
Bay2_Machine_5,MB8130-9900-FIN_Batch_15,660.0,670.0,970.0,300.0
Bay3_Machine_1,43 25 100 100 00 90 62_Batch_6,670.0,680.0,771.6666666666666,91.66666666666667
Bay3_Machine_2,43 25 100 100 00 90 62_Batch_7,680.0,690.0,781.6666666666666,91.66666666666667
Bay3_Machine_3,43 25 100 100 00 90 62_Batch_8,690.0,700.0,791.6666666666666,91.66666666666667
Bay3_Machine_1,43 25 100 100 00 90 62_Batch_9,771.6666666666666,781.6666666666666,873.3333333333334,91.66666666666667
Bay3_Machine_2,43 25 100 100 00 90 62_Batch_10,781.6666666666666,791.6666666666666,883.3333333333334,91.66666666666667
Bay3_Machine_3,43 25 100 100 00 90 62_Batch_11,791.6666666666666,801.6666666666666,893.3333333333334,91.66666666666667
Bay3_Machine_1,02 08 125 075 08 21 12_Batch_1,873.3333333333334,883.3333333333334,975.0,91.66666666666667
Bay3_Machine_2,02 08 125 075 08 21 12_Batch_2,883.3333333333334,893.3333333333334,985.0,91.66666666666667
Bay3_Machine_3,90 06 100 155 06 90 12_Batch_1,893.3333333333334,903.3333333333334,995.0,91.66666666666667
Bay2_Machine_1,MB8130-9900-FIN_Batch_16,930.0,940.0,1240.0,300.0
Bay2_Machine_2,MB8130-9900-FIN_Batch_17,940.0,950.0,1250.0,300.0
Bay2_Machine_3,MB8130-9900-FIN_Batch_18,950.0,960.0,1260.0,300.0
Bay2_Machine_4,MB8130-9900-FIN_Batch_19,960.0,970.0,1270.0,300.0
Bay2_Machine_5,MB8130-9900-FIN_Batch_20,970.0,980.0,1280.0,300.0
Bay3_Machine_1,90 06 100 155 06 90 12_Batch_2,980.0,990.0,1081.6666666666667,91.66666666666667
Bay3_Machine_2,90 06 100 155 06 90 12_Batch_3,990.0,1000.0,1091.6666666666667,91.66666666666667
Bay3_Machine_3,03 06 100 070 06 21 12_Batch_1,1000.0,1010.0,1101.6666666666667,91.66666666666667
Bay3_Machine_1,03 06 100 070 06 21 12_Batch_2,1081.6666666666667,1091.6666666666667,1183.3333333333333,91.66666666666667
Bay3_Machine_2,03 06 100 070 06 21 12_Batch_3,1091.6666666666667,1101.6666666666667,1193.3333333333333,91.66666666666667
Bay3_Machine_3,03 08 125 085 06 21 12_Batch_1,1101.6666666666667,1111.6666666666667,1203.3333333333333,91.66666666666667
Bay3_Machine_1,03 08 125 085 06 21 12_Batch_2,1183.3333333333333,1193.3333333333333,1285.0,91.66666666666667
Bay3_Machine_2,03 08 125 085 06 21 12_Batch_3,1193.3333333333333,1203.3333333333333,1295.0,91.66666666666667
Bay3_Machine_3,02 08 125 075 08 21 12_Batch_1,1203.3333333333333,1213.3333333333333,1305.0,91.66666666666667
Bay2_Machine_1,MB8140-9900-FIN_Batch_1,1240.0,1250.0,1550.0,300.0
Bay2_Machine_2,MB8140-9900-FIN_Batch_2,1250.0,1260.0,1560.0,300.0
Bay2_Machine_3,MB8140-9900-FIN_Batch_3,1260.0,1270.0,1570.0,300.0
Bay2_Machine_4,MB8230-7300-FIN_Batch_1,1270.0,1280.0,1521.6666666666667,241.66666666666666
Bay2_Machine_5,MB8230-7300-FIN_Batch_2,1280.0,1290.0,1531.6666666666667,241.66666666666666
Bay3_Machine_1,02 08 125 075 08 21 12_Batch_2,1290.0,1300.0,1391.6666666666667,91.66666666666667
